,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,Feels like,Name
68,bundaberg,90,AU,1580076203,94,-24.85,152.35,82.0,8.05,85.55,Bundaberg
69,barranco,48,PA,1580076079,74,9.52,-82.7,82.0,8.05,85.71,Barranco
70,saskylakh,100,RU,1580076203,97,71.92,114.08,-20.2,8.72,-31.99,Saskylakh
71,porto%20novo,20,BJ,1580076203,61,6.5,2.6,80.6,4.7,83.62,Porto-Novo
72,hermanus,85,ZA,1580076204,93,-34.42,19.23,60.01,1.01,59.05,Hermanus
73,tumut,0,AU,1580076204,44,-35.3,148.22,68.94,2.53,66.61,Tumut
74,matara,97,LK,1580076204,84,5.95,80.54,71.94,5.48,74.97,Matara
75,gorgan,0,IR,1580076204,43,36.84,54.43,33.8,9.17,23.11,Gorgan
76,ahuimanu,75,US,1580076204,65,21.44,-157.84,82.0,11.41,78.8,'Ahuimanu
77,opuwo,100,NA,1580076204,32,-18.06,13.84,80.15,7.45,75.42,Opuwo
78,carnarvon,0,AU,1580076204,100,-24.87,113.63,75.2,11.41,79.25,Carnarvon
79,cockburn%20town,25,TC,1580076129,75,21.46,-71.14,75.47,12.06,74.86,Cockburn Town
80,lorengau,75,PG,1580076204,80,-2.02,147.27,83.41,10.56,88.75,Lorengau
81,brae,100,GB,1580076205,86,60.4,-1.35,42.8,16.11,28.89,Brae
82,jiazi,0,CN,1580076205,80,22.88,116.07,46.65,8.03,40.06,Jiazi
83,yar-sale,94,RU,1580076205,99,66.83,70.83,-9.17,1.59,-16.69,Yar-Sale
84,saquena,56,PE,1580076205,83,-4.67,-73.52,83.86,3.56,94.12,Saquena
85,baruun-urt,0,MN,1580076205,82,46.68,113.28,10.44,11.9,-2.27,Baruun-Urt
86,kruisfontein,0,ZA,1580076205,79,-34.0,24.73,57.56,13.24,50.49,Kruisfontein
87,kopavogur,75,IS,1580076205,80,64.11,-21.91,35.6,17.22,20.48,Kopavogur
88,ajaccio,29,FR,1580076205,93,42.0,8.92,48.2,4.7,38.88,Arrondissement d'Ajaccio
89,valparaiso,2,CL,1580076206,53,-33.04,-71.63,75.2,10.29,66.92,Valparaiso
90,goderich,100,CA,1580076101,88,43.75,-81.72,34.0,1.99,28.26,Goderich
91,ilulissat,91,GL,1580076206,55,69.22,-51.1,10.4,3.36,2.1,Ilulissat
92,vila%20franca%20do%20campo,20,PT,1580076206,87,37.72,-25.43,60.8,18.34,52.65,Vila Franca do Campo
93,butaritari,100,KI,1580076206,81,3.07,172.79,82.83,16.6,84.67,Butaritari
94,barrow,1,US,1580076206,82,71.29,-156.79,-25.6,6.93,-36.51,Barrow
95,ushuaia,75,AR,1580076206,71,-54.8,-68.3,50.0,25.28,33.73,Ushuaia
96,ponta%20do%20sol,20,PT,1580076206,72,32.67,-17.1,59.0,5.82,52.16,Ponta do Sol
97,sao%20joao%20da%20barra,35,BR,1580076281,65,-21.64,-41.05,80.6,9.17,81.95,Sao Joao da Barra
98,yinchuan,66,CN,1580076034,86,38.47,106.27,25.36,4.54,17.98,Yinchuan
99,nikolskoye,75,RU,1580076282,80,59.7,30.79,30.2,8.95,19.83,Nikolskoye
100,moose%20factory,90,CA,1580076357,92,51.26,-80.61,23.0,11.41,11.68,Moose Factory
101,kavaratti,22,IN,1580076357,66,10.57,72.64,80.29,2.95,85.23,Kavaratti
102,asyut,0,EG,1580076075,66,27.18,31.18,50.0,6.93,43.7,Assiut
103,sandpoint,90,US,1580076304,100,48.28,-116.55,37.99,1.77,32.79,Sandpoint
104,mahon,0,ES,1580076358,93,39.89,4.27,50.0,3.36,47.68,Mahon
105,arraial%20do%20cabo,0,BR,1580076359,74,-22.97,-42.03,80.6,12.75,80.44,Arraial do Cabo
106,manggar,72,ID,1580076360,79,-2.88,108.27,81.21,4.79,88.32,Manggar
107,batemans%20bay,45,AU,1580076118,81,-35.72,150.18,70.0,1.41,74.01,Batemans Bay
108,muli,100,MV,1580076360,79,2.92,73.57,80.87,9.08,85.39,Muli
109,kavieng,0,PG,1580076360,74,-2.57,150.8,83.16,5.46,89.85,Kavieng
